Category,Emotion,Input_query,Response,Sentiment
Boarding gate related queries,Stress,I am running late for my flight. Could you help me find my way?,Stay calm. We will help you find your way. Please tell your flight number,Negative
Boarding gate related queries,Stress,It is [flight number],Your flight will take off from gate number [gate number]. Don’t panic and follow the sign boards to the specified gate. You will reach the destination gate in about [time] minutes. ,Negative
Boarding gate related queries,Stress,I am running very late for my flight. Can you please check the departure gate of my flight.,Stay calm. We will help you find your way. Please tell your flight number,Negative
Boarding gate related queries,Stress,My flight number is [flight number],Your flight will take off from gate number [gate number]. Don’t panic and follow the sign boards to the specified gate. You will reach the destination gate in about [time] minutes. ,Negative
Boarding gate related queries,Anger,I got late for my flight. All because of the mismanagement of the authority. Now help me finding my departure gate.,"We deeply regret for the inconvinience caused to you. Tell me your flight number, I can help you in finding your way.",Negative
Boarding gate related queries,Anger,It is [flight number],Your flight will take off from gate number [gate number]. Follow the sign boards to the specified gate. You will reach the destination gate in about [time] minutes. ,Negative
Boarding gate related queries,Anger,Security check often makes me late for the flight. Now can you tell in which direction is gate number [gate number]?,"Calm down, kindly go to the centre of the hall. The sign board there shows the direction of gates. Have a safe journey. ",Negative
Boarding gate related queries,Relax,I need information regarding departure gate of my flight. ,Sure. I am happy to help. Could you please tell me your flight number.,Neutral
Boarding gate related queries,Relax,It is [flight number],Your flight will take off from gate number [gate number]. Please follow the sign boards to the specified gate. You will reach the destination gate in about [time] mins,Neutral
Boarding gate related queries,Sad,I am facing some medical emergency. Help me find my way. ,Oh! sorry to hear that. Please tell your flight number.,Negative
Boarding gate related queries,Sad,It is [flight number],"Your flight will take off from gate number [gate number]. Please follow the sign boards to the specified gate. You will reach the destination gate in about [time] mins. In case of any medical condition, please contact emergency room for wheelchair and other assistance. ",Negative
Boarding gate related queries,Sad,I cannot walk because of severe ligament injury. Can you help me find my way?,Oh! sorry to hear that. Please tell your flight number.,Negative
Boarding gate related queries,Sad,It is [flight number],"Your flight will take off from gate number [gate number]. Please follow the sign boards to the specified gate. You will reach the destination gate in about [time] mins. In case of any medical condition, please contact emergency room for wheelchair and other assistance. ",Negative
Check-in related queries,Stress,Hey there! I got late for my flight. I have not done check-in either. Please help me finding my way to the check-in counter otherwise I will miss my flight today.,Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,I am facing some issue doing web check-in and I have very less time left for check-in. Where should I contact?,Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,Where is the check-in counter? I am already running late. ,Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,"I am running late for my flight. I haven't checked in either. Please direct me to the check-in desk; else, I risk missing my flight today.",Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,Listen please! I ran over my flying time. Neither have I checked in. I need your assistance finding the check-in desk so I don't miss my flight today.,Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,"Hi there! Insufficient time for my flight. My check-in has also been absent. In order to avoid missing my flight today, kindly direct me to the check-in desk as fast as you can.",Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,"Where is the counter for checking in? Already, I'm behind schedule.",Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,"The check-in desk is where? Already, my time is slipping away.",Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,"I'm having trouble checking in on the web, and there isn't much time left. Whom should I speak with?",Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,I am having trouble checking in online and I only have a short amount of time left. Where do I make contact?,Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Stress,I'm having trouble checking in online and I'm running out of time. Who should I get in touch with?,Please don't panic. Go straight and you will find the check-in counter. Keep your IDs ready with you. ,Negative
Check-in related queries,Anger,All the automatic check-in machines are not working. What am i supposed to do? I am getting late. ,We deeply regret for the inconvinience. You should go to the check-in counter. ,Negative
Check-in related queries,Anger,There are no operational automatic check-in machines. What's expected of me? I have to leave soon.,We deeply regret for the inconvinience. You should go to the check-in counter. ,Negative
Check-in related queries,Anger,The automated check-in devices are all broken. How should I proceed? I'm running late.,We deeply regret for the inconvinience. You should go to the check-in counter. ,Negative
Check-in related queries,Anger,The entire fleet of automated check-in devices is broken. I don't know what to do. The time is running out.,We deeply regret for the inconvinience. You should go to the check-in counter. ,Negative
Check-in related queries,Anger,The entire automated check-in system is broken. What should I do? I'm running behind schedule.,We deeply regret for the inconvinience. You should go to the check-in counter. ,Negative
Check-in related queries,Anger,All of the automatic check-in machines are broken. What should I do now? I'm running late.,We deeply regret for the inconvinience. You should go to the check-in counter. ,Negative
Check-in related queries,Anger,The automatic check-in machines are all broken. What should I do? It's getting late.,We deeply regret for the inconvinience. You should go to the check-in counter. ,Negative
Check-in related queries,Anger,"All of the self-service check-in machines are broken. So, what should I do? I'm running out of time.",We deeply regret for the inconvinience. You should go to the check-in counter. ,Negative
Check-in related queries,Neutral,What all things are needed for the manual check-in process?,"For the manual check-in process, just keep your ticket and IDs ready with you.",Neutral
Check-in related queries,Neutral,What is required for the manual check-in process?,"For the manual check-in process, just keep your ticket and IDs ready with you.",Neutral
Check-in related queries,Neutral,What are the requirements for the manual check-in process?,"For the manual check-in process, just keep your ticket and IDs ready with you.",Neutral
Check-in related queries,Neutral,What is required for the manual check-in procedure?,"For the manual check-in process, just keep your ticket and IDs ready with you.",Neutral
Check-in related queries,Neutral,What specific items are required for manual check-in?,"For the manual check-in process, just keep your ticket and IDs ready with you.",Neutral
Check-in related queries,Neutral,What particular items are required for the manual check-in procedure?,"For the manual check-in process, just keep your ticket and IDs ready with you.",Neutral
Check-in related queries,Neutral,What tools are necessary for the manual check-in procedure?,"For the manual check-in process, just keep your ticket and IDs ready with you.",Neutral
Schedule related queries,Stress,My flight has been rescheduled. Where should I go for the further details? ,"We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
Schedule related queries,Stress,My departure time has changed. Where can I go to get more information?,"We are sorry for the inconvinience but you need not to worry. Go to the check-in counter, all the further details will be conveyed to you. ",Negative
